Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Варшавская,"Ребел Эпл Дикий Крест, 0,45 бут.",Сидры и пуаре ур 2 (Ф),Россия,4,1905.94,873.92,1.1809249999999998,1032.02,A,A,A,AAA
Варшавская,"Ригеле Альте Вайс, темное, 0,500 бут.",Темные эли (Ф),Германия,1,704.12,330.0,1.1337,374.12,B,A,B,BAB
Варшавская,"Ригеле Аугсбургер Херренпилс, 0,500 бут.",Пилснеры (Ф),Германия,5,3750.0,1387.8,1.7021,2362.2,A,A,A,AAA
Варшавская,"Ригеле Вайсс, б/а, светлое, 0,500 бут.",Пиво б/а (Ф),Германия,6,3900.0,1388.11,1.80958,2511.89,A,A,A,AAA
Варшавская,"Ригеле Вюрцигес Экспорт, 0,500 бут.",Хели (Ф),Германия ,5,3750.0,1387.8,1.7021,2362.2,A,A,A,AAA
Варшавская,"Ригеле Коммерциенрат, 0,500 бут.",Хели (Ф),Германия ,3,2167.26,827.56,1.6186,1339.7,A,A,A,AAA
Варшавская,"Ригеле Файнес Урхелль, светлое, 0,500 бут.",Хели (Ф),Германия ,6,4442.28,1680.56,1.6462,2761.7200000000003,A,A,A,AAA
Варшавская,"Родное яблочко  Драй  0,500 .",Сидры и пуаре ур 2 (Ф),Россия,2,980.0,440.0,1.2273,540.0,B,A,B,BAB
Варшавская,"Рэбел Эппл Bride, бут. 0,75",Сидры и пуаре ур 2 (Ф),Россия ,1,2100.0,970.2,1.1645,1129.8,A,A,A,AAA
Варшавская,"С-Петерс  Бест Биттер, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,2,1180.0,360.0,2.2778,820.0,A,A,A,AAA
Варшавская,"С-Петерс Руби ред, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,3,1770.0,810.0,1.1852,960.0,A,A,A,AAA
Варшавская,"С-Петерс Хани Портер, 0,500 бут.",Темные эли (Ф),Англия,3,1770.0,210.0,7.4286,1560.0,A,A,A,AAA
Варшавская,"Саботаж Хоп Райдер  ж/б, 0,500",НЕИПА (Ф),Россия,1,520.0,237.0,1.1941,283.0,C,A,C,CAC
Варшавская,"Селфмэйд BFG  ж/б, 0,500",Дабл ИПА + (Ф),Россия,3,1650.0,732.0,1.2541,918.0,A,A,A,AAA
Варшавская,"Сидр ЛиК V6.0 0,450 бут.",Сидры и пуаре ур 2 (Ф),Россия,3,1260.0,471.0,1.6752,789.0,A,A,A,AAA
Варшавская,"Сидр ЛиК V7.0 0,450 бут.",Сидры и пуаре ур 2 (Ф),Россия,4,1331.36,628.0,0.8833,703.36,A,B,A,ABA
Варшавская,"Степь И Ветер Вишня, ж/б, 0,45",Миды и меломели (Ф),Россия,1,490.0,223.44,1.193,266.56,C,A,C,CAC
Варшавская,"Степь И Ветер Мед и Абрикос 0,45 ж/б",Миды и меломели (Ф),Россия,1,490.0,223.44,1.193,266.56,C,A,C,CAC
Варшавская,"СэлфМэйд ceremony, ж/б. 0,450 .",НЕИПА (Ф),Россия,2,1000.0,478.0,1.0921,522.0,B,B,B,BBB
Варшавская,"Трипл Кармелит, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,631.0,347.0,0.8184,284.0,B,C,C,BCC
Варшавская,"Фуллерс ЕСБ, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,2,1540.0,697.42,1.2081,842.58,A,A,A,AAA
Варшавская,"Фуллерс Лондон Блэк Каб Стаут, 0,500 бут.",Темные эли (Ф),Англия,2,1540.0,697.42,1.2081,842.58,A,A,A,AAA
Варшавская,"Фуллерс Лондон Портер, 0,500 бут.",Темные эли (Ф),Англия,3,2070.0,1046.13,0.9787,1023.87,A,B,A,ABA
Варшавская,"Фуллерс Лондон Прайд, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,2,1500.0,697.42,1.1508,802.58,A,A,A,AAA
Варшавская,Херкенрод Ноктис брюн 0.75 б,Крепкая бельгия 8+ (Ф),Бельгия,1,1800.0,845.0,1.1302,955.0,A,A,A,AAA
Варшавская,"Шнайдер Майне Хелле ТАР1, 0,500 бут.",Вайсс (Ф),Германия,3,1667.63,860.1299999999999,0.9388,807.5,A,B,A,ABA
Варшавская,"Шнайдер ТАР5, 0,500 бут.",Другое нефильтрованное пиво (Ф,Германия,1,750.0,354.32,1.1167,395.68,B,A,B,BAB
Варшавская,"Штамм Бревери Хоп Ган Батл Роял, ж/б. 0,500 .","Голден эли, АПА, Пэйл эли (Ф)",Россия,3,1650.0,753.0,1.1912,897.0,A,A,A,AAA
Варшавская,"Эплтон Пич , бут. 0,5л",Сидры и пуаре ур 2 (Ф),Россия,1,316.0,179.0,0.7654,137.0,C,C,C,CCC
