Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Кременчугская,"Ла Трапп Квадрупель, темное, 0,330 бут.",Крепкая бельгия 8+ (Ф),Нидерланды,3,1772.56,945.0,0.8756999999999998,827.56,A,C,A,ACA
Кременчугская,"Ла Трапп Трипель, светлое, 0,330 бут.",Крепкая бельгия 8+ (Ф),Нидерланды,2,1580.0,578.0,1.7336,1002.0,A,A,A,AAA
Кременчугская,"Леффе Брюн, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,4,1960.0,814.8,1.4055,1145.2,A,A,A,AAA
Кременчугская,"Нью Ригас Коза в малиннике, 0,450 ж/б.",Сауэр эли (Ф),Россия,1,420.0,171.76,1.4453,248.24,C,A,C,CAC
Кременчугская,"Нью Ригас Комета, 0,450 ж/б.",ИПА (Ф),Россия,7,2730.0,1066.03,1.5609,1663.97,A,A,A,AAA
Кременчугская,"Омер,330 бут.",Светлая столовая бельгия (Ф),Бельгия,1,590.0,256.0,1.3047,334.0,B,A,C,BAC
Кременчугская,"Орвал, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,67.44,366.0,-0.8157,-298.56,C,C,C,CCC
Кременчугская,"Островица Gose, 0,450 ж/б",Гозе и овощные гозе (Ф),Россия,1,420.0,197.0,1.132,223.0,C,A,C,CAC
Кременчугская,"Островица Juicy IPA, 0,45 ж/б",ИПА (Ф),Россия,5,2250.0,1023.37,1.1986500000000002,1226.63,A,A,A,AAA
Кременчугская,"Островица Американ Пейл Эль, 0,500 ж/б","Голден эли, АПА, Пэйл эли (Ф)",Россия,6,1780.34,1116.88,0.4400799999999999,663.46,A,C,B,ACB
Кременчугская,"Островица Индиа Пейл Эль, 0,450 ж/б",ИПА (Ф),Россия,2,780.0,368.6,1.1161,411.4,B,B,B,BBB
Кременчугская,"Парадокс Мичелада ж/б. 0,330 .",Гозе и овощные гозе (Ф),Россия,3,1770.0,600.0,1.95,1170.0,A,A,A,AAA
Кременчугская,"Парадокс Фатум: Весткост Дабл ИПА, ж/б, 0,500",Дабл ИПА + (Ф),Россия,5,2670.56,1295.0,1.0852499999999998,1375.56,A,B,A,ABA
Кременчугская,"Ребел Эпл Дикий Крест Полусухой, 0,45 бут.",Сидры и пуаре ур 2 (Ф),Россия,2,980.0,493.14,0.9873,486.86,B,B,B,BBB
Кременчугская,"Ребел Эпл Дикий Крест, 0,45 бут.",Сидры и пуаре ур 2 (Ф),Россия,3,1470.0,756.0,0.9444,714.0,A,B,B,ABB
Кременчугская,"Ребел Эпл Кармилла, 0,33 бут.",Сидры и пуаре ур 2 (Ф),Россия,1,390.0,206.0,0.8932,184.0,C,B,C,CBC
Кременчугская,"Ригеле Аугсбургер Херренпилс, 0,500 бут.",Пилснеры (Ф),Германия,5,2693.81,1388.93,0.749375,1304.88,A,C,A,ACA
Кременчугская,"Ригеле Вюрцигес Экспорт, 0,500 бут.",Хели (Ф),Германия ,5,2600.58,1387.8,1.18445,1212.78,A,A,A,AAA
Кременчугская,"Ригеле Келлербир, темное, 0,500 бут.",Другое нефильтрованное пиво (Ф,Германия,2,1380.0,594.0,1.3232,786.0,A,A,A,AAA
Кременчугская,"Ригеле Коммерциенрат, 0,500 бут.",Хели (Ф),Германия ,2,1500.0,555.12,1.7021,944.88,A,A,A,AAA
Кременчугская,"Ригеле Файнес Урхелль, светлое, 0,500 бут.",Хели (Ф),Германия ,3,1989.0,810.8399999999999,1.453,1178.16,A,A,A,AAA
Кременчугская,"Ригеле Хелль, б/а, светлое, 0,500 бут.",Пиво б/а (Ф),Германия,4,2535.0,960.0,1.6631666666666665,1575.0,A,A,A,AAA
Кременчугская,"Рошфор 10, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,850.0,378.0,1.2487,472.0,B,A,B,BAB
Кременчугская,"Рошфор 6, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,1,580.0,261.0,1.2222,319.0,C,A,C,CAC
Кременчугская,"Рэбел Эппл Bride, бут. 0,75",Сидры и пуаре ур 2 (Ф),Россия ,2,4200.0,1940.4,1.1645,2259.6,A,A,A,AAA
Кременчугская,"С-Петерс Индиа Пейл Эль, 0,500 бут.",ИПА (Ф),Англия,2,1180.0,357.85,2.2975000000000003,822.1500000000001,B,A,A,BAA
Кременчугская,"С-Петерс Хани Портер, 0,500 бут.",Темные эли (Ф),Англия,1,590.0,70.0,7.4286,520.0,C,A,B,CAB
Кременчугская,"Сидр ЛиК V6.0 0,450 бут.",Сидры и пуаре ур 2 (Ф),Россия,2,840.0,314.0,1.6752,526.0,B,A,B,BAB
Кременчугская,"Славянское Солнце Квас Традиционный, б/а, жб. 0,450 .",Пиво б/а (Ф),Россия,2,500.0,190.0,1.6316,310.0,C,A,C,CAC
Кременчугская,"Степь И Ветер Дыня Лемонграс, 0,45 ж/б",Миды и меломели (Ф),Россия,4,1960.0,976.08,1.008,983.92,A,B,A,ABA
Кременчугская,"Степь и ветер Punch,  0.450 ж/б",Миды и меломели (Ф),Россия ,1,590.0,272.44,1.1656,317.56,B,A,C,BAC
Кременчугская,Степь и ветер TONIC MEAD Мёд сладкий 0.450 ж/б,Напитки б/а (Ф),Россия ,2,980.0,446.0,1.1973,534.0,B,A,B,BAB
Кременчугская,"Токсовская сидрерия Smoked, 0,330 бут",Сидры и пуаре ур 2 (Ф),Россия,1,390.0,201.0,0.9403,189.0,C,B,C,CBC
Кременчугская,"Токсовская сидрерия Костры рябин, 0,330 бут",Сидры и пуаре ур 2 (Ф),Россия,2,940.0,422.0,1.2275,518.0,B,A,B,BAB
Кременчугская,"Трипл Кармелит, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,690.0,351.0,0.9658,339.0,B,B,C,BBC
Кременчугская,"Трипл Кармелит, 0,75 бут.",Крепкая бельгия 8+ (Ф),Бельгия,3,6900.0,2460.0,1.8049,4440.0,A,A,A,AAA
Кременчугская,"Флорис Манго, 0,330 бут.",Фруктовые ламбики (столовые) Ф,Бельгия,2,840.0,380.0,1.2105,460.0,B,A,B,BAB
Кременчугская,"Фуллерс ЕСБ, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,5,3850.0,1697.5,1.268,2152.5,A,A,A,AAA
Кременчугская,"Фуллерс Лондон Блэк Каб Стаут, 0,500 бут.",Темные эли (Ф),Англия,5,3850.0,1697.5,1.268,2152.5,A,A,A,AAA
Кременчугская,"Фуллерс Лондон Портер, 0,500 бут.",Темные эли (Ф),Англия,5,3450.0,1697.5,1.0324,1752.5,A,B,A,ABA
Кременчугская,"Фуллерс Лондон Прайд, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,1,750.0,405.71,0.8486,344.29,B,C,B,BCB
Кременчугская,"Фурнье сидр де Норманди Брют 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Франция,2,1900.0,1192.0,0.594,708.0,A,C,B,ACB
Кременчугская,Херкенрод Блонд 0.33 б,Светлая столовая бельгия (Ф),Бельгия,1,520.0,358.0,0.4525,162.0,C,C,C,CCC
Кременчугская,"Шапо Малина Ламбик, 0,0375 бут.",Фруктовые ламбики (столовые) Ф,Бельгия,4,3960.0,1500.0,1.64,2460.0,A,A,A,AAA
Кременчугская,"Шнайдер TАР7, 0,500 бут.",Вайсс (Ф),Германия,2,1240.0,569.48,1.1774,670.52,B,A,B,BAB
Кременчугская,"Шнайдер Майне Хелле ТАР1, 0,500 бут.",Вайсс (Ф),Германия,4,2567.5,1138.96,1.2447333333333332,1428.54,A,A,A,AAA
Кременчугская,"Шнайдер ТАР5, 0,500 бут.",Другое нефильтрованное пиво (Ф,Германия,3,2157.09,1017.66,1.1274333333333333,1139.4299999999998,A,B,A,ABA
Кременчугская,"Штраффе Хендрикс Брюгс Квадрюпель,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,4,3000.0,1340.0,1.2388,1660.0,A,A,A,AAA
Кременчугская,"Штраффе Хендрикс Брюгс Трипл,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,2,1500.0,665.67,1.2533500000000002,834.33,A,A,A,AAA
Кременчугская,"Якобинс Крик Макс, светлое, 0,250 бут.",Фруктовые ламбики (столовые) Ф,Бельгия,5,2667.5,970.0,1.7818999999999998,1697.5,A,A,A,AAA
