Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin
Большой пр. В.О,"4Brewers  Сигнал, ж/б. 0,450 .",Сауэр эли (Ф),Россия ,3,1560.0,670.3199999999999,1.3272,889.6800000000001
Большой пр. В.О,4Brewers | Качок-Кабачок | 450мл.,Гозе и овощные гозе (Ф),Россия,1,490.0,222.46,1.2026,267.53999999999996
Большой пр. В.О,"4Brewers Зависимость острая, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,1,550.0,211.68,1.5983,338.32
Большой пр. В.О,"4Brewers Зависимость, ж/б. 0,450 .",Гозе и овощные гозе (Ф),Россия ,4,1920.0,803.6,1.3892,1116.4
Большой пр. В.О,"4Brewers Морковка на Стажировке, ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,3,956.0,652.6800000000001,0.46469999999999995,303.32
Большой пр. В.О,"4Brewers Рассол Дико Зол, ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,4,1960.0,889.84,1.2026,1070.1599999999999
Большой пр. В.О,"4Brewers Укропная Зависимость , ж/б. 0,500 .",Гозе и овощные гозе (Ф),Россия ,1,550.0,234.22,1.3482,315.78
Большой пр. В.О,"Atmosphere brew Психоделический Трип, ж/б. 0,450 .",Темные эли (Ф),Россия ,2,900.0,396.0,1.2727,504.0
Большой пр. В.О,"Big Village Twist Joy (berliner weisse) ж/б, 0,450",Сауэр эли (Ф),Россия,1,0.22,212.85,-0.999,-212.63
Большой пр. В.О,"Blue Moon Wit,светлое, 0,330 бут.",Бланш (Ф),Бельгия,2,880.0,374.42,1.3503,505.58
Большой пр. В.О,"Bombardier Premium British, 0,5 бут",Имперское (Ф),Англия,3,2250.0,776.97,1.8959,1473.03
Большой пр. В.О,"Brew division  Forever young, бут., 0,33",Имперское (Ф),Россия ,2,1360.0,616.0,1.2078,744.0
Большой пр. В.О,"Brewlok Кикимора, ж/б. 0,500 .",Темные эли (Ф),Россия,2,760.0,300.7,1.5274,459.3
Большой пр. В.О,"Brewlok Русалка ж/б, 0,450",Сауэр эли (Ф),Россия,2,782.0,362.78,1.1556,419.22
Большой пр. В.О,"Chibis brewery МАКРАМЕ  ж/б 0,450",Сауэр эли (Ф),Россия,1,620.0,280.0,1.2143,340.0
Большой пр. В.О,"Gas Brew Jupiter thrill, ж/б. 0,450 .",Сауэр эли (Ф),Россия ,1,470.0,210.0,1.2381,260.0
