Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Лиговский,"Островица Холи ДИПА, 0,450 ж/б",Дабл ИПА + (Ф),Россия,1,420.0,194.0,1.1649,226.0,C,A,C,CAC
Лиговский,"Парадокс Инсайдер Красная смородина, 0,500 ж/б",Сидры и пуаре ур 2 (Ф),Россия,1,427.5,0.0,0.0,427.5,C,C,B,CCB
Лиговский,"Парадокс Мичелада ж/б. 0,330 .",Гозе и овощные гозе (Ф),Россия,2,1150.5,0.0,0.0,1150.5,B,C,A,BCA
Лиговский,"Парадокс Фатум: Весткост Дабл ИПА, ж/б, 0,500",Дабл ИПА + (Ф),Россия,3,1534.0,777.0,0.9742333333333332,757.0,A,A,A,AAA
Лиговский,"План Б Отличный план, ж/б., 0,5",ИПА (Ф),Россия,4,1521.0,779.0,0.9692,742.0,A,A,A,AAA
Лиговский,"План Б Солнечный Ветер, ж/б, 0,450","Голден эли, АПА, Пэйл эли (Ф)",Россия,4,1501.5,733.4,1.0561666666666667,768.1,A,A,A,AAA
Лиговский,"План Б Тропикал Пэйнкиллер, 0,500 ж/б",Дабл ИПА + (Ф),Россия,2,798.0,406.6,0.9626,391.4,B,A,B,BAB
Лиговский,"Ребел Эпл Дикий Крест Полусухой, 0,45 бут.",Сидры и пуаре ур 2 (Ф),Россия,4,1755.0,882.0,1.0068,873.0,A,A,A,AAA
Лиговский,"Ригеле Вюрцигес Экспорт, 0,500 бут.",Хели (Ф),Германия ,2,1345.5,584.34,1.3026,761.16,A,A,A,AAA
Лиговский,"Ригеле Коммерциенрат, 0,500 бут.",Хели (Ф),Германия ,23,15145.5,6719.91,1.2554,8425.59,A,A,A,AAA
Лиговский,"Ригеле Файнес Урхелль, светлое, 0,500 бут.",Хели (Ф),Германия ,10,6865.5,2845.0,1.40104,4020.5,A,A,A,AAA
Лиговский,"Ригеле Хелль, б/а, светлое, 0,500 бут.",Пиво б/а (Ф),Германия,3,1852.5,735.0,1.5204,1117.5,A,A,A,AAA
Лиговский,"Ригеле Хефевайсбир, светлое, 0,500 бут.",Вайсс (Ф),Германия,7,4320.0,2045.19,1.1175,2274.81,A,A,A,AAA
Лиговский,"Родное яблочко  Драй  0,500 .",Сидры и пуаре ур 2 (Ф),Россия,5,2327.5,1100.0,1.1159,1227.5,A,A,A,AAA
Лиговский,"Родное яблочко  Семисвит Б\А 0,500 .",Сидры и пуаре ур 2 (Ф),Россия,2,931.0,398.0,1.3392,533.0,B,A,B,BAB
Лиговский,"Рошфор 10, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,750.0,378.0,0.9841,372.0,B,A,B,BAB
Лиговский,"Рошфор 6, 0,330 бут.",Светлая столовая бельгия (Ф),Бельгия,4,2054.0,1044.0,0.9674,1010.0,A,A,A,AAA
Лиговский,"Сент Бернардус 12 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,650.0,321.0,1.0249,329.0,B,A,B,BAB
Лиговский,"Сент Бернардус Трипель 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,513.0,272.0,0.886,241.0,C,A,C,CAC
Лиговский,"Степь И Ветер Pyment , 0,45 ж/б",Миды и меломели (Ф),Россия,2,742.5,446.88,0.66155,295.62,B,C,C,BCC
Лиговский,"Степь И Ветер Вишня, ж/б, 0,45",Миды и меломели (Ф),Россия,2,900.0,446.88,1.014,453.12,B,A,B,BAB
Лиговский,"Степь И Ветер Дыня Лемонграс, 0,45 ж/б",Миды и меломели (Ф),Россия,3,1260.0,732.0600000000001,0.7211666666666666,527.9399999999999,A,B,B,ABB
Лиговский,"Степь И Ветер Мид Мед и Смородина , бут., 0,45",Миды и меломели (Ф),Россия,3,1305.0,670.3199999999999,0.9468666666666667,634.6800000000001,A,A,A,AAA
Лиговский,"Степь И Ветер Традиционный , 0,45 ж/б",Миды и меломели (Ф),Россия,4,1732.5,666.4,1.611033333333333,1066.1,A,A,A,AAA
Лиговский,"СэлфМэйд ceremony, ж/б. 0,450 .",НЕИПА (Ф),Россия,1,350.0,234.63,0.4917,115.37,C,C,C,CCC
Лиговский,"Трипл Кармелит, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,3,1711.0,933.0,0.8497,778.0,A,B,A,ABA
Лиговский,"Фуллерс ЕСБ, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,2,1311.0,679.0,0.9308,632.0,A,A,A,AAA
Лиговский,"Фуллерс Лондон Блэк Каб Стаут, 0,500 бут.",Темные эли (Ф),Англия,3,2233.0,1101.18,1.0278333333333334,1131.82,A,A,A,AAA
Лиговский,"Фуллерс Лондон Портер, 0,500 бут.",Темные эли (Ф),Англия,9,6003.0,3303.54,0.8014666666666668,2699.46,A,B,A,ABA
Лиговский,"Фуллерс Лондон Прайд, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,1,750.0,367.06,1.0433,382.94,B,A,B,BAB
Лиговский,"Фурнье сидр де Норманди Брют 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Франция,1,902.5,596.0,0.5143,306.5,B,C,C,BCC
Лиговский,"Фурнье сидр де Норманди Розе 0,33 л бут.",Сидры и пуаре ур 2 (Ф),Франция,2,1311.0,718.0,0.8259,593.0,A,B,B,ABB
Лиговский,"Фурнье сидр де Норманди Розе 0,75 л бут.",Сидры и пуаре ур 2 (Ф),Франция,1,845.5,636.0,0.3294,209.5,B,C,C,BCC
Лиговский,"Шимэ Рэд Кап, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,1,590.0,300.0,0.9667,290.0,B,A,C,BAC
Лиговский,"Шнайдер Майне Хелле ТАР1, 0,500 бут.",Вайсс (Ф),Германия,1,589.0,344.35,0.7105,244.65,C,C,C,CCC
Лиговский,"Шнайдер ТАР5, 0,500 бут.",Другое нефильтрованное пиво (Ф,Германия,1,712.5,337.07,1.1138,375.43,B,A,B,BAB
