Бар,Пиво,Литры 2025,Литры 2026,Д Литры,Выручка 2025,Выручка 2026,Д Выручка,Наценка 2025,Наценка 2026,Маржа 2025,Маржа 2026,Д Маржа
Большой пр. В.О,бланш де неж,2.6,0.0,-100.0%,3753,0,-100.0%,191%,-,2479,0,-100.0%
Большой пр. В.О,блек шип,0.0,21.7,NEW,0,18277,NEW,-,173%,0,11767,NEW
Большой пр. В.О,борнем блонд,5.1,0.0,-100.0%,15180,0,-100.0%,207%,-,10201,0,-100.0%
Большой пр. В.О,бургунь де фландер,0.0,22.4,NEW,0,40721,NEW,-,185%,0,26394,NEW
Большой пр. В.О,бюльви рустик полусухой,0.0,0.2,NEW,0,260,NEW,-,250%,0,186,NEW
Большой пр. В.О,вита сид том 2,16.3,0.0,-100.0%,26494,0,-100.0%,377%,-,20898,0,-100.0%
Большой пр. В.О,во brewlok ipa,14.9,0.0,-100.0%,23709,0,-100.0%,287%,-,17412,0,-100.0%
Большой пр. В.О,во brewlok баба яга,8.7,0.0,-100.0%,13693,0,-100.0%,220%,-,9485,0,-100.0%
Большой пр. В.О,во o`hara`s irish stout,10.6,0.0,-100.0%,25777,0,-100.0%,197%,-,17031,0,-100.0%
Большой пр. В.О,во rewort nutty nut,7.8,0.0,-100.0%,12378,0,-100.0%,166%,-,7809,0,-100.0%
Большой пр. В.О,во баптист вит,4.2,0.0,-100.0%,12009,0,-100.0%,224%,-,8124,0,-100.0%
Большой пр. В.О,во варка пшено,3.7,0.0,-100.0%,4320,0,-100.0%,256%,-,3054,0,-100.0%
Большой пр. В.О,во гулден драк 708,6.8,0.0,-100.0%,22826,0,-100.0%,241%,-,16143,0,-100.0%
Большой пр. В.О,во джаст хёфевайцен,2.8,0.0,-100.0%,3420,0,-100.0%,220%,-,2350,0,-100.0%
Большой пр. В.О,во коникс черри руби,12.8,0.0,-100.0%,33994,0,-100.0%,219%,-,23226,0,-100.0%
Большой пр. В.О,во литовер мораван,10.7,0.0,-100.0%,21364,0,-100.0%,217%,-,14692,0,-100.0%
Большой пр. В.О,во локал лагер (рыжее),14.9,0.0,-100.0%,14514,0,-100.0%,435%,-,11744,0,-100.0%
Большой пр. В.О,во палм,14.7,0.0,-100.0%,38833,0,-100.0%,203%,-,26245,0,-100.0%
Большой пр. В.О,во ригеле файнес урхелль,3.7,0.0,-100.0%,10737,0,-100.0%,200%,-,6998,0,-100.0%
Большой пр. В.О,гулден драк 708,0.0,48.5,NEW,0,88988,NEW,-,157%,0,53350,NEW
Большой пр. В.О,джаст хёфевайцен,0.2,0.0,-100.0%,673,0,-100.0%,289%,-,500,0,-100.0%
Большой пр. В.О,джоус бланш,15.6,0.0,-100.0%,34887,0,-100.0%,223%,-,24084,0,-100.0%
