Bar,Beer,Style,Country,TotalQty,TotalRevenue,TotalCost,AvgMarkupPercent,TotalMargin,ABC_Revenue,ABC_Markup,ABC_Margin,ABC_Combined
Большой пр. В.О,"Степь и ветер Punch,  0.450 ж/б",Миды и меломели (Ф),Россия ,2,1180.0,544.88,1.1656,635.12,A,A,B,AAB
Большой пр. В.О,"СэлфМэйд ceremony, ж/б. 0,450 .",НЕИПА (Ф),Россия,4,2120.0,938.52,1.2589,1181.48,A,A,A,AAA
Большой пр. В.О,"Трипл Кармелит, 0,330 бут.",Крепкая бельгия 8+ (Ф),Бельгия,1,690.0,311.0,1.2186,379.0,B,A,C,BAC
Большой пр. В.О,"Фердинанд б/а, 0,500 бут.",Пиво б/а (Ф),Чехия,1,420.0,231.83,0.8117,188.17,C,C,C,CCC
Большой пр. В.О,"Фуллерс ЕСБ, 0,500 бут.","Карамельное, янтарное пиво 2 Ф",Англия,5,3687.0,1743.55,1.1302,1943.45,A,B,A,ABA
Большой пр. В.О,"Шапо Ананас Ламбик, 0,250 бут.",Фруктовые ламбики (столовые) Ф,Бельгия,7,1994.47,1603.0,0.3894,391.47,A,C,C,ACC
Большой пр. В.О,"Шимэ Рэд Кап, 0,330 бут.",Темная столовая бельгия (Ф),Бельгия,1,770.0,300.0,1.5667,470.0,B,A,B,BAB
Большой пр. В.О,"Шнайдер TАР7, 0,500 бут.",Вайсс (Ф),Германия,2,0.42,569.48,-0.9993,-569.0600000000001,C,C,C,CCC
Большой пр. В.О,"Шнайдер Авентинус Вайзен-Айсбок, 0,330 бут.",Другое нефильтрованное пиво (Ф,Германия ,1,890.0,381.73,1.3315,508.27,B,A,B,BAB
Большой пр. В.О,"Шнайдер Авентинус ТАР6, 0,500 бут.",Темные эли (Ф),Германия,2,0.47,630.4,-0.9993,-629.93,C,C,C,CCC
Большой пр. В.О,"Шнайдер Майне Хелле ТАР1, 0,500 бут.",Вайсс (Ф),Германия,2,650.21,569.48,0.14175,80.72999999999996,B,C,C,BCC
Большой пр. В.О,"Штраффе Квадрюпель Херитэйдж дерев. кор., 0,75 бут.",Крепкая бельгия 8+ (Ф),Бельгия,3,4504.77,6738.0,0.00235,-2233.23,A,C,C,ACC
Большой пр. В.О,"Эплтон Пич , бут. 0,5л",Сидры и пуаре ур 2 (Ф),Россия,2,684.88,358.0,0.9131,326.88,B,C,C,BCC
Большой пр. В.О,"Якобинс Кюве Руж, темное, 0,330 бут.",Крепкая вишня и персик (Ф),Бельгия,3,2380.67,900.0,1.6451666666666669,1480.67,A,A,A,AAA
