Бар;Пиво;Литры 2025;Литры 2026;Д Литры;Выручка 2025;Выручка 2026;Д Выручка;Р/литр 25;Р/литр 26;Наценка 2025;Наценка 2026;Маржа 2025;Маржа 2026;Д Маржа;Маржа/литр 25;Маржа/литр 26
ИТОГО;ригеле коммерциенрат;0.0;94.5;NEW;0;138506;NEW;-;1465;-;199%;0;90634;NEW;-;959
ИТОГО;ригеле файнес урхелль;13.0;9.8;-24.8%;33400;15260;-54.3%;2562;1557;235%;172%;23213;9772;-57.9%;1781;997
ИТОГО;стародубице дванактка;8.4;0.0;-100.0%;22215;0;-100.0%;2654;-;204%;-;14945;0;-100.0%;1786;-
ИТОГО;степь и ветер мёд и виноград;9.5;0.0;-100.0%;14621;0;-100.0%;1539;-;210%;-;9745;0;-100.0%;1026;-
ИТОГО;степь и ветер традиционный;1.8;0.0;-100.0%;4262;0;-100.0%;2352;-;248%;-;3033;0;-100.0%;1673;-
ИТОГО;стинбрюгге бланш;13.0;0.0;-100.0%;20648;0;-100.0%;1584;-;198%;-;13608;0;-100.0%;1044;-
ИТОГО;стинбрюгге блонд;2.9;0.0;-100.0%;9008;0;-100.0%;3095;-;201%;-;5975;0;-100.0%;2053;-
ИТОГО;стинбрюгге браун;2.8;0.0;-100.0%;5193;0;-100.0%;1888;-;178%;-;3265;0;-100.0%;1187;-
ИТОГО;фестхаус вайцен;0.0;49.3;NEW;0;46694;NEW;-;947;-;395%;0;37180;NEW;-;754
ИТОГО;фестхаус доппельбок;0.0;8.9;NEW;0;9720;NEW;-;1092;-;212%;0;6605;NEW;-;742
ИТОГО;фестхаус октобер;0.0;0.5;NEW;0;413;NEW;-;826;-;120%;0;226;NEW;-;451
ИТОГО;фестхаус хеллес;0.0;119.2;NEW;0;112046;NEW;-;940;-;391%;0;88895;NEW;-;746
ИТОГО;эйбау хефевайссбир;34.7;0.0;-100.0%;59384;0;-100.0%;1710;-;255%;-;42494;0;-100.0%;1224;-
ИТОГО;*** ВСЕГО ***;874.0;1198.2;+37.1%;1463968;1424522;-2.7%;1675;1189;220%;199%;1006479;948583;-5.8%;1152;792
